id,name,tier,confidence,pattern_a,pattern_b,mor_as_cd,current_MAT_pos,current_MAT_sal,current_CD_pos,current_CD_sal,current_CU_pos,current_CU_sal,current_MOR_pos,current_MOR_sal,current_PRO_pos,current_PRO_sal,current_COM_pos,current_COM_sal,current_ZS_pos,current_ZS_sal,current_ONT_H_pos,current_ONT_H_sal,current_ONT_S_pos,current_ONT_S_sal,current_PF_pos,current_TRB_pos,current_ENG_pos,proposed_MAT_pos,proposed_MAT_sal,proposed_CD_pos,proposed_CD_sal,proposed_CU_pos,proposed_CU_sal,proposed_MOR_pos,proposed_MOR_sal,proposed_PRO_pos,proposed_PRO_sal,proposed_COM_pos,proposed_COM_sal,proposed_ZS_pos,proposed_ZS_sal,proposed_ONT_H_pos,proposed_ONT_H_sal,proposed_ONT_S_pos,proposed_ONT_S_sal,proposed_PF_pos,proposed_TRB_pos,proposed_ENG_pos,priority_node_changes,evidence_note
056,Institutional Leftist,T1,LOW,N,N,N,2,2,4,2,4,3,4,3,3,2,4,2,2,3,4,2,4,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,Institutional Leftist post-rename coding consistent. CD=4 unusual (cultural-conservative left); H. Wallace gap candidate but ONT_S=4 is correct for institutional-left.
057,Temperate Pluralist,T1,LOW,N,N,N,3,1,2,2,5,2,4,2,4,2,4,2,2,2,4,2,4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,Encoding broadly consistent.
059,Public-Minded Moderate,T1,MEDIUM,N,N,N,3,2,3,1,3,2,5,2,4,2,4,2,2,2,2,1,4,1,3,2,,,,,,,,,,,,,,,,,4,1,,,,,ONT_H,"Public-Minded Moderate ONT_H=2 reads as 'humans-fixed-skeptical' for an archetype defined as moderate-civic — moderate civics usually believes in slow cultivation (ONT_H=4). MOR=5 max-universal for a moderate is also a touch high (MOR=4 fits) but anti:low captures it. centristAnchor flag noted."
060,Hinge Citizen,T1,LOW,N,N,N,3,2,3,1,3,2,3,2,4,2,3,2,2,2,4,2,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,Hinge Citizen ONT_S=2 — odd for swing voter but centristAnchor flag captures intentional flatness.
061,Millian Liberal,T1,LOW,N,N,N,5,2,2,2,4,3,4,2,2,2,3,3,1,2,5,3,4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,Millian Liberal MAT=5 (laissez-faire) + ONT_S=4 + ONT_H=5 (cultivation through liberty) all fit J.S. Mill. Coding consistent.
062,Meritocratic Liberal,T1,LOW,N,N,N,5,2,2,1,3,1,3,1,5,3,4,1,2,2,4,1,4,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,Meritocratic Liberal coding consistent.
063,Enterprise Pluralist,T1,LOW,N,N,N,5,2,3,1,3,2,4,1,3,1,5,2,1,2,5,2,4,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,Enterprise Pluralist coding consistent.
065,Opportunity Liberal,T1,MEDIUM,N,N,N,3,3,2,2,5,2,5,2,1,3,3,2,1,3,5,3,4,2,3,2,,,,,,,,,,3,2,,,,,,,,,,,,PRO,"Opportunity Liberal PRO=1 (max anti-procedural) inconsistent with named 'Liberal' — opportunity liberals typically use institutions (school choice, market reform). PRO=3 fits better. ONT_H=5 max-malleable + ONT_S=4 fits liberal-developmentalist."
067,Free-Exchange Modernist,T1,MEDIUM,N,N,N,5,3,1,2,5,3,4,2,1,3,3,2,1,3,5,2,5,2,3,2,,,,,,,,,,3,2,,,,,,,,,,,,PRO,"Free-Exchange Modernist PRO=1 anti-procedural (max) — but free-exchange liberalism (Cobden/Bright/Hayek-style) believes institutions like contract law are essential. PRO=3-4 fits. ONT_S=5 correctly captures faith in market institutions."
069,Bleeding-Heart Libertarian,T1,LOW,N,N,N,4,2,2,2,4,2,5,2,1,2,1,2,1,2,5,2,4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,Bleeding-Heart Libertarian (BHL) MOR=5 widely-universal/CU=4 pluralist fits BHL philosophical stance. PRO=1 fits libertarian anti-procedural. Coding consistent.
070,Burkean Steward,T1,LOW,N,N,N,4,2,4,2,3,2,2,3,5,2,3,1,3,1,4,2,4,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,Burkean Steward ONT_H=4/ONT_S=4 already corrected per ADR-010. MOR=2 (narrow) plausible for Burkean (concern bounded by Little Platoons).
071,Constitutional Conservative,T1,LOW,N,N,N,4,2,5,2,1,2,2,2,5,2,2,2,4,2,4,1,3,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,Constitutional conservative coding consistent. ONT_H=4 already corrected.
072,Blackstone Conservative,T1,LOW,N,N,N,4,2,5,2,1,2,5,2,5,2,3,1,3,1,4,1,3,1,3,2,,,,,3,2,,,,,,,,,,,,,,,MOR,"Blackstone Conservative MOR=5 (max-wide) but common-law conservatism is hierarchical/in-group oriented. MOR=3 mid-narrow likely fits better. MEDIUM but salience makes it light."
073,Civic Traditionalist,T1,LOW,N,N,N,4,2,5,2,1,2,4,1,3,2,4,1,3,1,4,1,4,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,Civic Traditionalist MOR=4 plausible (civic-national concern). ONT_H/ONT_S already corrected. Coding consistent.
074,Responsible Conservative,T1,LOW,N,N,N,3,2,4,2,2,2,4,2,4,2,5,2,3,2,3,1,3,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,Responsible Conservative coding consistent. CU=2 (assimilationist civic-nat) defensible.
076,Fiscal Gradualist,T1,LOW,N,N,N,5,2,2,2,3,1,2,2,3,2,4,2,4,2,3,1,3,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,Fiscal Gradualist coding consistent.
077,Ordered Libertarian,T1,LOW,N,N,N,5,2,4,1,4,1,2,1,3,2,1,2,2,1,3,1,3,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,Ordered Libertarian MOR=2 (narrow) fits non-bleeding-heart libertarian; CU=4 pluralist also fits. Consistent.
078,Meritocratic Conservative,T1,LOW,N,N,N,5,2,4,1,4,1,2,1,4,1,3,1,3,2,4,2,3,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,Meritocratic Conservative coding consistent.
079,National Developmentalist,T1,MEDIUM,N,N,N,4,2,4,1,3,1,2,2,4,2,4,1,4,2,2,1,1,2,4,3,,,,,,,,,,,,,,,4,1,5,2,,,,"ONT_H,ONT_S","National Developmentalist ONT_S=1 (anti-institutional!) is contradictory: developmentalist = state-led growth. Hamilton/Bismarck/Lee Kuan Yew tradition ONT_S=5. ONT_H=2 (skeptical) inconsistent with developmentalist agenda — ONT_H=4 (state shapes citizens). HIGH-leaning but holding MEDIUM since identifying 'national' may mean nativist-not-developmentalist."
081,Heritage Guardian,T1,HIGH,N,N,Y,4,1,5,2,1,2,2,2,3,1,2,1,4,1,4,1,2,2,4,5,,,,,,,,5,2,,,,,,,,,,,,,,MOR,"Heritage Guardian MOR=2 (narrow): Pattern B-inverse and rubric independence test. Heritage guardians explicitly ARE narrow-spatial-scope (national/ethnic in-group). MOR=2 is correct for spatial scope BUT name implies they may also have klan-tier element with TRB=5 anti:low. Could push MOR=1 (klan-tier). Currently MOR=2 may actually be too HIGH given TRB=5; recommend MOR drop to 1 if 'Heritage' = ethno-national. Could also be MOR=2-3 if it means civic-cultural heritage. ONT_H=4 already corrected."
082,Altar-and-Hearth Conservative,T1,LOW,N,N,N,3,1,5,2,1,2,3,2,2,2,2,2,3,1,4,1,3,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,Altar-and-Hearth coding consistent. MOR=3 fits family/religion-bounded.
083,Closed Traditionalist,T1,LOW,N,N,N,3,1,5,2,1,2,4,2,3,1,2,1,5,2,4,1,2,1,4,3,,,,,,,,3,2,,,,,,,,,,,,,MOR,"Closed Traditionalist MOR=4 (mid-wide) inconsistent with 'Closed' label — should be MOR=2-3 (narrow practiced scope). Pattern B-inverse: traditional moral content read as wide scope. MOR=3 fits."
084,Civilizational Conservative,T1,LOW,N,N,N,3,1,5,2,1,2,3,2,3,1,2,1,3,1,3,1,1,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,Civilizational Conservative coding consistent. MOR=3 fits civilizational-bounded.
085,Customary Localist,T1,LOW,N,N,N,4,2,5,2,1,2,2,2,2,2,2,2,3,1,4,1,3,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,Customary Localist already ONT_H/ONT_S corrected per ADR-010. Coding consistent.
086,Duty Traditionalist,T1,LOW,N,N,N,3,1,4,1,3,2,3,2,5,2,2,1,3,1,4,1,3,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,Duty Traditionalist already ONT_H/ONT_S corrected. PRO=5 (rules-bound) consistent with duty.
087,Continuity Conservative,T1,LOW,N,N,N,3,2,5,2,1,2,2,2,5,2,3,1,3,1,4,2,3,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,Continuity Conservative coding consistent. ONT_H/ONT_S already corrected.
088,Gentle Traditionalist,T1,LOW,N,N,N,3,2,4,2,3,2,2,2,3,2,4,2,3,2,4,1,3,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,Gentle Traditionalist coding consistent. ONT_H=4 already corrected.
089,Integral Traditionalist,T1,LOW,N,N,N,4,1,5,2,3,2,1,2,3,1,2,1,5,2,4,1,3,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,Integral Traditionalist MOR=1 (max narrow) fits integralist-religious bounded community ('only Catholics morally count' style). ZS=5 fits civilizational-zero-sum frame. Coding consistent.
090,Hobbesian Guardian,T1,LOW,N,N,N,4,2,5,2,1,2,1,3,4,2,2,2,5,3,1,3,1,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,Hobbesian Guardian MOR=1/ONT_H=1/ONT_S=1 all consistent with Hobbesian dark-realism. Coding consistent.
091,Security Paternalist,T1,LOW,N,N,N,3,1,4,1,1,2,3,1,4,1,3,1,4,2,3,1,1,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,Security Paternalist coding plausible. ONT_S=1 fits state-strong-but-anti-institutional-process paternalist. Hold LOW.
092,Partisan Tribalist,T1,LOW,N,N,N,3,1,4,1,1,2,2,1,4,1,2,1,4,1,2,1,1,2,5,5,,,,,,,,,,,,,,,,,,,,,,,,Partisan Tribalist tribal/uniform-culture coding consistent. ONT_S=1 fits 'system rigged against us'.
094,Hard-State Manager,T1,HIGH,N,N,N,3,2,4,2,1,2,1,2,5,2,1,2,4,2,2,1,1,2,4,3,,,,,,,,,,,,,,,,,,,4,2,,,,ONT_S,"Hard-State Manager: ONT_S=1 contradiction — 'Hard-State' explicitly means state institutions can act and DO act. ONT_S=4-5 fits. The encoding flips Hard-State to anti-institutional which is incoherent. PRO=5 (rules-bound) is consistent with managerial authoritarianism but ONT_S must move."
095,Emergency Orderist,T1,MEDIUM,N,N,N,3,1,4,1,1,2,1,2,3,1,1,2,5,2,2,1,1,2,4,3,,,,,,,,,,,,,,,,,,,3,2,,,,ONT_S,"Emergency Orderist ONT_S=1 contradiction: Schmittian/emergency-power orderists believe in *strong state institutions* (just want them to act decisively). ONT_S=3-4 fits. Anti high preserved."
097,Authority Pragmatist,T1,LOW,N,N,N,4,1,4,1,1,2,1,2,4,1,4,1,4,2,3,1,1,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,Authority Pragmatist with strong-state realist coding. MOR=1 narrow + ONT_S=1 — pragmatic authoritarian who doesn't believe institutions can act effectively. Plausible if read as cynical-realpolitik. Hold LOW.
098,Anti-Elite Populist,T1,LOW,N,N,N,3,1,4,1,1,2,2,2,1,2,2,2,5,2,2,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,Anti-Elite Populist ONT_S=1 (system-rigged) consistent with rubric anchor for populist nihilism. Coding consistent.
099,Scarcity Populist,T1,LOW,N,N,N,1,2,4,2,1,2,1,2,1,2,1,2,5,2,1,2,1,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,Scarcity Populist coding consistent — fixed humans + zero-sum + narrow scope.
100,Tribal Insurgent,T1,LOW,N,N,N,1,2,5,2,1,2,1,2,1,2,1,2,5,2,2,1,1,2,5,5,,,,,,,,,,,,,,,,,,,,,,,,Tribal Insurgent maximally tribal/zero-sum coding consistent with the type.
101,Embattled Majoritarian,T1,LOW,N,N,N,3,1,4,2,1,2,2,2,2,1,1,2,5,2,2,1,1,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,Embattled Majoritarian coding consistent.
103,Grievance Mobilizer,T1,LOW,N,N,N,2,1,4,1,1,2,2,1,1,2,1,2,5,2,1,2,1,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,Grievance Mobilizer coding consistent — populist-grievance entrepreneur.
104,National Protector,T1,LOW,N,N,N,3,1,4,2,1,2,3,2,3,1,1,2,5,2,3,1,1,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,National Protector coding consistent.
105,Combative Populist,T1,LOW,N,N,N,3,1,4,1,1,2,1,2,1,2,1,2,5,2,1,2,1,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,Combative Populist coding consistent.
106,Militant Partisan,T1,LOW,N,N,N,3,1,4,1,1,2,1,2,2,2,2,2,5,2,2,1,1,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,Militant Partisan coding consistent.
